,name,link,rate,location,h_id
71,"Mandarin Oriental, Paris",https://www.tripadvisor.fr/Hotel_Review-g187147-d2041918-Reviews-Mandarin_Oriental_Paris-Paris_Ile_de_France.html,"5,0","251 Rue Saint-Honoré, 75001 Paris France",1871472041918
72,InterContinental Berlin,https://www.tripadvisor.fr/Hotel_Review-g187323-d2184676-Reviews-InterContinental_Berlin-Berlin.html,"4,5","Budapester Strasse 2, 10787 Berlin Allemagne",1873232184676
73,Hotel Rose Bourbon,https://www.tripadvisor.fr/Hotel_Review-g187147-d13646431-Reviews-Hotel_Rose_Bourbon-Paris_Ile_de_France.html,"4,5","53 rue de l Eglise, 75015 Paris France",18714713646431
74,Hotel Rose Bourbon,https://www.tripadvisor.fr/Hotel_Review-g187147-d13646431-Reviews-Hotel_Rose_Bourbon-Paris_Ile_de_France.html,"4,5","53 rue de l Eglise, 75015 Paris France",18714713646431
75,Club Cactus Paradise,https://www.tripadvisor.fr/Hotel_Review-g676110-d1064076-Reviews-Club_Cactus_Paradise-Gumuldur_Izmir_Province_Turkish_Aegean_Coast.html,"4,0","Sahil Str. 13 Menderes Gumuldur, Gumuldur 35480 Turquie",6761101064076
76,Iberostar Selection Hacienda Dominicus,https://www.tripadvisor.fr/Hotel_Review-g663484-d253138-Reviews-Iberostar_Selection_Hacienda_Dominicus-Bayahibe_La_Altagracia_Province_Dominican_Republ.html,"4,5","Playa Bayahibe, Bayahibe 23000 République dominicaine",663484253138
77,Hotel Baia del Porto,https://www.tripadvisor.fr/Hotel_Review-g656838-d1089256-Reviews-Hotel_Baia_del_Porto-Budoni_Province_of_Olbia_Tempio_Sardinia.html,"4,5","Via delle Magnolie, 08020, Budoni, Sardaigne Italie",6568381089256
78,Hotel Terminus Lyon,https://www.tripadvisor.fr/Hotel_Review-g187147-d282205-Reviews-Hotel_Terminus_Lyon-Paris_Ile_de_France.html,"4,0","19 boulevard Diderot, 75012 Paris France",187147282205
79,Hotel Terminus Lyon,https://www.tripadvisor.fr/Hotel_Review-g187147-d282205-Reviews-Hotel_Terminus_Lyon-Paris_Ile_de_France.html,"4,0","19 boulevard Diderot, 75012 Paris France",187147282205
80,Hôtel d'Orsay,https://www.tripadvisor.fr/Hotel_Review-g187175-d236889-Reviews-Hotel_d_Orsay-Toulouse_Haute_Garonne_Occitanie.html,"4,0","8 boulevard de Bonrepos, 31000, Toulouse France",187175236889
81,Hotel des Grands Hommes,https://www.tripadvisor.fr/Hotel_Review-g187147-d219988-Reviews-Hotel_des_Grands_Hommes-Paris_Ile_de_France.html,"4,5","17 Place du Pantheon, 75005 Paris France",187147219988
82,Hotel des Grands Hommes,https://www.tripadvisor.fr/Hotel_Review-g187147-d219988-Reviews-Hotel_des_Grands_Hommes-Paris_Ile_de_France.html,"4,5","17 Place du Pantheon, 75005 Paris France",187147219988
83,Hotel des Grands Hommes,https://www.tripadvisor.fr/Hotel_Review-g187147-d219988-Reviews-Hotel_des_Grands_Hommes-Paris_Ile_de_France.html,"4,5","17 Place du Pantheon, 75005 Paris France",187147219988
84,Hotel des Grands Hommes,https://www.tripadvisor.fr/Hotel_Review-g187147-d219988-Reviews-Hotel_des_Grands_Hommes-Paris_Ile_de_France.html,"4,5","17 Place du Pantheon, 75005 Paris France",187147219988
